ss_action_friendly_explosion,Friendly Explosion,Безопасный взрыв,Explosão Amigável,Explosión Amistosa,Freundliche Explosion,Explosion Amicale,Esplosione Amica,Przyjazny wybuch,友好爆炸,フレンドリーエクスプロージョン,아군 피해 무효화 폭발,,,,,,,,,,,,,
ss_actiondesc_friendly_explosion,Removes friendly fire from projectile explosions.,Убирает дружественный урон от взрывов.,Remove o dano de fogo amigo das explosões de projéteis.,Elimina el fuego amigo de las explosiones de proyectiles.,Entfernt freundliches Feuer von Projektil-Explosionen.,Supprime les dégâts alliés des explosions de projectiles.,Rimuove il fuoco amico dalle esplosioni dei proiettili.,Usuwa obrażenia od przyjaznych eksplozji.,消除友方伤害的爆炸。,投射物爆発の味方攻撃を無効化します。,	투사체 폭발의 아군 피해를 제거합니다.,,,,,,,,,,,,,
ss_action_friendly_safe,Friendly Safe,Полная безопасность,Segurança Amigável,Seguridad Amistosa,Freundlich Sicher,Sécurité Amicale,Sicurezza Amica,Pełne bezpieczeństwo,友好安全,フレンドリーセーフ,아군 피해 무효화 완전 보호,,,,,,,,,,,,,
ss_actiondesc_friendly_safe,Removes friendly fire from projectiles and their explosions.,Убирает дружественный урон от снарядов и их взрывов.,	Remove o dano de fogo amigo dos projéteis e suas explosões.,Elimina el fuego amigo de los proyectiles y sus explosiones.,Entfernt freundliches Feuer von Projektilen und deren Explosionen.,Supprime les dégâts alliés des projectiles et de leurs explosions.,Rimuove il fuoco amico dai proiettili e dalle loro esplosioni.,Usuwa obrażenia od przyjaznych pocisków i eksplozji.,消除友方伤害的弹道物和爆炸。,投射物および爆発の味方攻撃を無効化します。,투사체 및 폭발로 인한 아군 피해를 제거합니다.,,,,,,,,,,,,,
ss_action_chain_lightning_bolt,Chain Lightning Bolt,Цепная молния,Raio relâmpago encadeado,Rayo en cadena,Kettenblitzschlag,Éclair en chaîne,Dardo fulmineo a catena,Pocisk łańcuchowy błyskawicy,连锁闪电弹,チェーンライトニングボルト,연쇄 번개 볼트,,,,,,,,,,,,,
ss_actiondesc_chain_lightning_bolt,A surge of lightning that arcs between enemies combining raw energy with magical chaining.,Сгусток молнии который перескакивает между врагами объединяя мощь электричества и магическое звено.,Um raio que salta entre inimigos combinando energia pura com encadeamento mágico.,Un rayo que salta entre enemigos combinando energía bruta con magia en cadena.,Ein Blitzschlag der zwischen Feinden überspringt und rohe Energie mit magischem Verketten kombiniert.,Une décharge d'éclair qui bondit entre les ennemis mêlant énergie brute et enchaînement magique.,Un fulmine che salta tra i nemici unendo energia pura e concatenamento magico.,Błyskawica przeskakująca między wrogami łącząca surową energię z magicznym łańcuchem.,一道在敌人之间跳跃的闪电弹，结合了原始能量与魔法链。,敵から敵に飛び移る稲妻ボルト。原始的なエネルギーと魔法の連鎖を融合させたものです。,적들 사이를 이동하는 번개 볼트로 원초적인 에너지와 마법의 연쇄를 결합합니다,,,,,,,,,,,,,
ss_action_lightning_fast_bolt,Lightning-Fast Chain Bolt,Молниеносная цепь молний,Raio encadeado ultrarrápido,Rayo en cadena ultraveloz,Schneller Kettenblitz,Éclair en chaîne ultra-rapide,Dardo fulmineo a catena velocissimo,Pocisk łańcuchowy błyskawicy błyskawiczny,极速连锁闪电弹,超高速チェーンライトニングボルト,번개처럼 빠른 연쇄 볼트,,,,,,,,,,,,,
ss_actiondesc_lightning_fast_bolt,An extremely fast chain of lightning that strikes enemies before they even see it coming.,Молниеносная цепь ударов которая поражает врагов раньше чем они успеют это заметить.,Um raio encadeado extremamente rápido que atinge os inimigos antes que percebam.,Un rayo en cadena extremadamente veloz que golpea a los enemigos antes de que puedan reaccionar.,Eine extrem schnelle Kettenblitzschlag die Feinde trifft bevor sie reagieren können.,Une chaîne d’éclairs extrêmement rapide qui frappe les ennemis avant qu'ils ne puissent réagir.,Una catena di fulmini velocissima che colpisce i nemici prima che possano accorgersene.,Ekstremalnie szybka błyskawica łańcuchowa która trafia wrogów zanim zdążą zareagować.,极速连锁闪电弹，攻击敌人快得令人反应不及。,敵が気づく前に襲いかかる超高速チェーンライトニングボルト。,적들이 알아차리기도 전에 적중하는 극도로 빠른 연쇄 번개 볼트입니다,,,,,,,,,,,,,
ss_action_rubber_ball_2,Double Bouncing Burst,Двойной скачущий взрыв,Duplo projétil ricocheteante,Doble ráfaga rebotadora,Doppel-Springende Explosion,Salve double à rebonds,Doppio getto con rimbalzo,Podwójny odbijający się napływ,双弹跳爆发,ダブルバウンドバースト,더블 바운스 버스트,,,,,,,,,,,,,
ss_actiondesc_rubber_ball_2,A pair of bouncy projectiles,Пара отскакивающих снарядов,Um par de projéteis bem ricocheteantes.,Un par de proyectiles que rebotan mucho,Zwei sehr springhafte Projektile,Une paire de projectiles très rebondissants,Una coppia di proiettili che rimbalzano parecchio.,Dwa mocno odbijające się pociski,一对极具弹跳力的投射物,非常にバウンドする放射物が2つ,통통 튕기는 발사체 두 개,,,,,,,,,,,,,
ss_action_rubber_ball_3,Triple Bouncing Burst,Тройной скачущий взрыв,Triplo projétil ricocheteante,Triple ráfaga rebotadora,Dreifach-Springende Explosion,Salve triple à rebonds,Triplo getto con rimbalzo,Potrójny odbijający się napływ,三弹跳爆发,トリプルバウンドバースト,트리플 바운스 버스트,,,,,,,,,,,,,
ss_actiondesc_rubber_ball_3,A trio of even bouncier projectiles,Трио ещё более отскакивающих снарядов,Um trio de projéteis ainda mais ricocheteantes.,Un trío de proyectiles que rebotan aún más,Drei noch springhaftere Projektile,Un trio de projectiles encore plus rebondissants,Un trio di proiettili che rimbalzano ancora di più.,Trzy jeszcze mocniej odbijające się pociski,三枚更加弹跳的投射物,さらにバウンドする放射物が3つ,더욱 튕기는 발사체 3개,,,,,,,,,,,,,
ss_action_bouncy_orb_2,Enhanced energy sphere,Улучшенная энергетическая сфера,Esfera de energia aprimorada,Esfera de energía mejorada,Verbesserte Energiesphäre,Sphère d'énergie améliorée,Sfera di energia migliorata,Ulepszona sfera energii,增强能量球,強化エネルギー球,강화된 에너지 구체,,,,,,,,,,,,,
ss_actiondesc_bouncy_orb_2,"A faster and stronger arcing projectile",Более быстрый и сильный дуговой снаряд,Um projétil de arco mais rápido e forte.,Un proyectil más rápido y poderoso que se desplaza en un arco,"Ein schnelleres und stärkeres, bogenförmiges Projektil",Un projectile plus rapide et puissant à la trajectoire arquée,Un proiettile più veloce e potente con traiettoria ad arco.,Szybszy i mocniejszy pocisk lecący po łuku,更快且更强的弧线行进投射物,より速くて強いアーク放電放射物,더 빠르고 강력하게 원호를 그리는 발사체입니다,,,,,,,,,,,,,
ss_action_bouncy_orb_3,Empowered energy sphere,Усиленная энергетическая сфера,Esfera de energia fortalecida,Esfera de energía potenciada,Gestärkte Energiesphäre,Sphère d'énergie renforcée,Sfera di energia potenziata,Wzmocniona sfera energii,强化能量球,強化されたエネルギー球,강화된 에너지 구체,,,,,,,,,,,,,
ss_actiondesc_bouncy_orb_3,"An incredibly fast and powerful arcing projectile",Невероятно быстрый и мощный дуговой снаряд,Um projétil incrivelmente rápido e poderoso.,Un proyectil increíblemente rápido y poderoso que se desplaza en un arco,"Ein unglaublich schnelles und kraftvolles, bogenförmiges Projektil",Un projectile extrêmement rapide et puissant à la trajectoire arquée,Un proiettile incredibilmente veloce e potente con traiettoria ad arco.,Niesamowicie szybki i potężny pocisk lecący po łuku,极其迅猛且强大的弧线行进投射物,非常に速くて強力なアーク放電放射物,놀랍도록 빠르고 강력하게 원호를 그리는 발사체입니다,,,,,,,,,,,,,
